i,r,reg_cap_cost_mult
BATTERY,p19029,1.0043
BATTERY,p41051,1.06
BATTERY,p06077,1.0766
BATTERY,p26019,1.005
BATTERY,p19027,1.0058
BATTERY,p41053,1.0601
BATTERY,p41055,1.0569
BATTERY,p31153,1
BATTERY,p19025,1.0066
BATTERY,p51149,1.0108
BATTERY,p41057,1.061
BATTERY,p31151,1.0027
BATTERY,p55039,1.0038
BATTERY,p42057,1.0155
BATTERY,p19013,1
BATTERY,p31145,0.9947
BATTERY,p19003,1.0058
BATTERY,p42009,1.0131
BATTERY,p31139,1
BATTERY,p51141,1.0018
BATTERY,p19001,1.0068
BATTERY,p06085,1.0872
BATTERY,p42011,1.0397
BATTERY,p26033,1.0108
BATTERY,p31137,0.9967
BATTERY,p55043,1.0114
BATTERY,p18183,1.0209
BATTERY,p42013,1.0179
BATTERY,p42015,1.0256
BATTERY,p18181,1.0314
BATTERY,p31135,0.9914
BATTERY,p01131,1.0082
BATTERY,p41069,1.05
BATTERY,p26031,1.0104
BATTERY,p19005,1.0074
BATTERY,p51145,1.0094
BATTERY,p41071,1.0601
BATTERY,p26027,1.0243
BATTERY,p19011,1.0038
BATTERY,p55041,1.0011
BATTERY,p42001,1.0188
BATTERY,p31143,1.001
BATTERY,p19009,1.0047
BATTERY,p42003,1.0078
BATTERY,p06083,1.0767
BATTERY,p26029,1.0085
BATTERY,p19007,1.0142
BATTERY,p42005,1.0152
BATTERY,p31141,1.0005
BATTERY,p51143,1.0026
BATTERY,p42007,1.007
BATTERY,p31071,0.9958
BATTERY,p06097,1.0937
BATTERY,p18143,1.017
BATTERY,p18097,1.02
BATTERY,p42113,1.0233
BATTERY,p06111,1.0802
BATTERY,p31085,0.9928
BATTERY,p26079,1.0085
BATTERY,p01117,1.0143
BATTERY,p26077,1.0112
BATTERY,p18095,1.019
BATTERY,p51107,1.0113
BATTERY,p18093,1.0197
BATTERY,p42117,1.0286
BATTERY,p31083,0.9969
BATTERY,p18091,1.0451
BATTERY,p42119,1.0225
BATTERY,p42115,1.0216
BATTERY,p42111,1.012
BATTERY,p31087,0.9938
BATTERY,p18099,1.0303
BATTERY,p42101,1.0593
BATTERY,p26073,1.0078
BATTERY,p18105,1.0199
BATTERY,p31091,0.9908
BATTERY,p42103,1.0366
BATTERY,p18103,1.0244
BATTERY,p06109,1.0761
BATTERY,p42105,1.0285
BATTERY,p31089,0.9969
BATTERY,p26075,1.0148
BATTERY,p55057,1.0078
BATTERY,p18101,1.0216
BATTERY,p42107,1.0325
BATTERY,p51109,1.0101
BATTERY,p42109,1.0277
BATTERY,p26081,1.0011
BATTERY,p55059,1.045
BATTERY,p51105,1.0076
BATTERY,p06113,1.0822
BATTERY,p18079,1.0139
BATTERY,p42133,1.0209
BATTERY,p26087,1.0169
BATTERY,p31075,0.99
BATTERY,p55061,0.9921
BATTERY,p51101,1.0128
BATTERY,p18077,1.0127
BATTERY,p44003,1.0428
BATTERY,p08001,0.9905
BATTERY,p31073,0.9958
BATTERY,p26089,1.0058
BATTERY,p18075,1.0146
BATTERY,p44005,1.045
BATTERY,p44007,1.0428
BATTERY,p18073,1.0406
BATTERY,p42131,1.0155
BATTERY,p51111,1.0071
BATTERY,p31077,0.9985
BATTERY,p01115,1.0141
BATTERY,p18089,1.0587
BATTERY,p42121,1.0165
BATTERY,p31081,0.9995
BATTERY,p26083,1.0075
BATTERY,p18087,1.02
BATTERY,p42123,1.0182
BATTERY,p42125,1.0062
BATTERY,p18085,1.0244
BATTERY,p42127,1.0226
BATTERY,p51103,1.018
BATTERY,p31079,0.9982
BATTERY,p26085,1.0065
BATTERY,p18083,1.0267
BATTERY,p42129,1.0102
BATTERY,p06115,1.0811
BATTERY,p18081,1.0195
BATTERY,p18107,1.0224
BATTERY,p31093,0.9989
BATTERY,p01119,1.0119
BATTERY,p26059,1.0155
BATTERY,p18133,1.0215
BATTERY,p42071,1.0299
BATTERY,p31107,0.999
BATTERY,p51119,1.018
BATTERY,p18131,1.0353
BATTERY,p42073,1.0092
BATTERY,p06101,1.0813
BATTERY,p26061,1.0066
BATTERY,p18129,1.0319
BATTERY,p31105,0.9909
BATTERY,p42075,1.0312
BATTERY,p42077,1.0427
BATTERY,p18127,1.0524
BATTERY,p31103,0.9931
BATTERY,p01123,1.0152
BATTERY,p42079,1.0194
BATTERY,p42069,1.012
BATTERY,p31109,1.0019
BATTERY,p42059,1.0054
BATTERY,p51125,1.0059
BATTERY,p26055,1.0073
BATTERY,p42061,1.0209
BATTERY,p18141,1.0341
BATTERY,p42063,1.0145
BATTERY,p18139,1.0138
BATTERY,p31111,0.9928
BATTERY,p42065,1.0171
BATTERY,p51121,1.0003
BATTERY,p55051,1.0065
BATTERY,p26057,1.0086
BATTERY,p06099,1.073
BATTERY,p18137,1.0055
BATTERY,p42067,1.0264
BATTERY,p18135,1.0128
BATTERY,p31113,0.9929
BATTERY,p55053,1.0083
BATTERY,p51117,1.0066
BATTERY,p18115,0.998
BATTERY,p42091,1.0532
BATTERY,p26069,1.0127
BATTERY,p55055,1.0219
BATTERY,p42093,1.0287
BATTERY,p51113,1.0104
BATTERY,p18113,1.0208
BATTERY,p42095,1.0476
BATTERY,p31095,1.0038
BATTERY,p18111,1.0431
BATTERY,p42097,1.0299
BATTERY,p26071,1.0039
BATTERY,p06107,1.0729
BATTERY,p18109,1.0201
BATTERY,p42099,1.0258
BATTERY,p31097,1.0032
BATTERY,p26063,1.0143
BATTERY,p06105,1.0792
BATTERY,p18117,1.0202
BATTERY,p18125,1.0249
BATTERY,p42081,1.0274
BATTERY,p06103,1.0812
BATTERY,p31101,0.991
BATTERY,p18123,1.0217
BATTERY,p42083,1.0218
BATTERY,p26065,1.0128
BATTERY,p01121,1.0143
BATTERY,p18121,1.0241
BATTERY,p42085,1.0119
BATTERY,p31099,0.9974
BATTERY,p51115,1.0195
BATTERY,p18119,1.0214
BATTERY,p42087,1.0211
BATTERY,p26067,1.0038
BATTERY,p42089,1.0316
BATTERY,p26165,1.0071
BATTERY,p51049,1.0082
BATTERY,p17131,1.0115
BATTERY,p16029,1.0185
BATTERY,p01063,1.0133
BATTERY,p47159,1.0317
BATTERY,p16027,1.021
BATTERY,p29215,1.0343
BATTERY,p47161,1.0332
BATTERY,p27097,1.0074
BATTERY,p08101,0.9965
BATTERY,p47163,1.0054
BATTERY,p27099,1.0065
BATTERY,p29213,1.0238
BATTERY,p55119,1.0063
BATTERY,p50011,1.0716
BATTERY,p16023,1.0177
BATTERY,p16025,1.024
BATTERY,p50013,1.076
BATTERY,p47157,1.0289
BATTERY,p29217,1.0121
BATTERY,p29221,1.0568
BATTERY,p16037,1.0218
BATTERY,p47149,1.0341
BATTERY,p27093,1.0086
BATTERY,p47151,1.0163
BATTERY,p50015,1.0709
BATTERY,p55117,1.0039
BATTERY,p16035,1.027
BATTERY,p29219,1.0571
BATTERY,p47153,1.0193
BATTERY,p08099,0.9971
BATTERY,p16033,1.0126
BATTERY,p27095,1.0087
BATTERY,p47155,1.0117
BATTERY,p16031,1.0257
BATTERY,p47165,1.0364
BATTERY,p47167,1.0299
BATTERY,p29211,1.0156
BATTERY,p27101,1.0022
BATTERY,p29205,1.0263
BATTERY,p16011,1.0174
BATTERY,p50007,1.0785
BATTERY,p47179,1.0063
BATTERY,p27107,0.9995
BATTERY,p16009,1.0304
BATTERY,p47181,1.0243
BATTERY,p47183,1.0317
BATTERY,p16007,1.0214
BATTERY,p29203,1.0393
BATTERY,p50005,1.0575
BATTERY,p47185,1.0231
BATTERY,p08107,0.9959
BATTERY,p27109,1.0077
BATTERY,p16005,1.0203
BATTERY,p55121,1.0083
BATTERY,p47147,1.0371
BATTERY,p47177,1.0244
BATTERY,p16013,1.0231
BATTERY,p16021,1.0303
BATTERY,p47169,1.034
BATTERY,p08103,1.0059
BATTERY,p16019,1.015
BATTERY,p47171,1.006
BATTERY,p29209,1.021
BATTERY,p27103,1.0083
BATTERY,p50009,1.0514
BATTERY,p16017,1.0305
BATTERY,p47173,1.0123
BATTERY,p01061,1.0034
BATTERY,p16015,1.0214
BATTERY,p47175,1.0218
BATTERY,p29207,1.0398
BATTERY,p27105,1.002
BATTERY,p08105,1.0074
BATTERY,p16039,1.0223
BATTERY,p08097,0.9979
BATTERY,p47145,1.0164
BATTERY,p16065,1.0129
BATTERY,p50025,1.0484
BATTERY,p47117,1.0256
BATTERY,p27079,1.0089
BATTERY,p47119,1.031
BATTERY,p16063,1.0248
BATTERY,p47121,1.0172
BATTERY,p30005,0.9963
BATTERY,p16061,1.0316
BATTERY,p08091,1.0082
BATTERY,p27081,1.0015
BATTERY,p47123,1.0154
BATTERY,p55113,1.0074
BATTERY,p16059,1.0192
BATTERY,p50023,1.0676
BATTERY,p30007,0.9969
BATTERY,p47125,1.0354
BATTERY,p47115,1.0169
BATTERY,p08089,0.9977
BATTERY,p47107,1.0166
BATTERY,p08087,0.9911
BATTERY,p16073,1.0266
BATTERY,p47109,1.026
BATTERY,p30011,0.9866
BATTERY,p27075,1.007
BATTERY,p50027,1.0515
BATTERY,p16071,1.0232
BATTERY,p47111,1.0312
BATTERY,p16069,1.0321
BATTERY,p47113,1.0287
BATTERY,p30009,0.9982
BATTERY,p01069,1.0004
BATTERY,p55111,1.0128
BATTERY,p27077,1.0027
BATTERY,p16067,1.023
BATTERY,p47187,1.037
BATTERY,p30003,0.9948
BATTERY,p27083,1.0025
BATTERY,p55115,0.9948
BATTERY,p16047,1.0252
BATTERY,p08095,0.9913
BATTERY,p47139,1.0164
BATTERY,p29225,1.0248
BATTERY,p16045,1.0215
BATTERY,p47141,1.0246
BATTERY,p27089,0.9994
BATTERY,p16043,1.0086
BATTERY,p47143,1.0184
BATTERY,p50017,1.0558
BATTERY,p01065,1.0129
BATTERY,p29223,1.0439
BATTERY,p16041,1.0233
BATTERY,p27091,1.0065
BATTERY,p47137,1.0203
BATTERY,p16057,1.0312
BATTERY,p29227,1.0092
BATTERY,p27087,1.0022
BATTERY,p47127,1.0197
BATTERY,p01067,1.0047
BATTERY,p16055,1.03
BATTERY,p50021,1.0534
BATTERY,p47129,1.0175
BATTERY,p30001,1.0138
BATTERY,p08093,0.9924
BATTERY,p16053,1.0262
BATTERY,p47131,1.0329
BATTERY,p27085,1.009
BATTERY,p16051,1.0144
BATTERY,p29229,1.0284
BATTERY,p47133,1.0226
BATTERY,p47135,1.029
BATTERY,p16049,1.0258
BATTERY,p50019,1.0603
BATTERY,p30013,0.9908
BATTERY,p16003,1.0271
BATTERY,p47189,1.0359
BATTERY,p13279,1.0233
BATTERY,p48051,0.9942
BATTERY,p29171,1.0151
BATTERY,p27135,1.0011
BATTERY,p13277,1.0038
BATTERY,p48053,0.9996
BATTERY,p08121,0.992
BATTERY,p55131,1.0138
BATTERY,p13275,0.9932
