i,r,reg_cap_cost_mult
lfill-gas,p21137,0.9947
lfill-gas,p48219,0.9863
lfill-gas,p39129,1.0064
lfill-gas,p05133,0.9815
lfill-gas,p26029,1.0516
lfill-gas,p16075,1.0145
lfill-gas,p48453,0.9569
lfill-gas,p29101,1.0318
lfill-gas,p20065,0.9867
lfill-gas,p38049,1.0154
lfill-gas,p39131,0.9966
lfill-gas,p41055,1.0968
lfill-gas,p13027,0.9636
lfill-gas,p19023,0.9885
lfill-gas,p20201,0.999
lfill-gas,p54057,1.0285
lfill-gas,p36087,1.239
lfill-gas,p45085,0.9806
lfill-gas,p20047,0.9833
lfill-gas,p20157,0.9925
lfill-gas,p48241,0.9545
lfill-gas,p28145,0.9894
lfill-gas,p48217,0.9646
lfill-gas,p47103,0.9762
lfill-gas,p17161,1.0214
lfill-gas,p31033,0.989
lfill-gas,p13129,0.9914
lfill-gas,p21023,0.9883
lfill-gas,p22103,0.9822
lfill-gas,p36079,1.1945
lfill-gas,p45007,0.9894
lfill-gas,p47055,0.9808
lfill-gas,p38077,1.0283
lfill-gas,p27057,1.0476
lfill-gas,p31151,0.9933
lfill-gas,p28125,0.9813
lfill-gas,p28099,0.9802
lfill-gas,p38099,1.0218
lfill-gas,p45009,0.9766
lfill-gas,p31141,0.9914
lfill-gas,p26019,1.0514
lfill-gas,p41057,1.1038
lfill-gas,p37021,0.991
lfill-gas,p30029,1.0142
lfill-gas,p18011,1.0071
lfill-gas,p16077,1.0007
lfill-gas,p05063,0.9927
lfill-gas,p38051,1.0165
lfill-gas,p37017,0.9892
lfill-gas,p05047,0.9885
lfill-gas,p36097,1.0713
lfill-gas,p39127,1.006
lfill-gas,p35033,1.0018
lfill-gas,p20063,0.987
lfill-gas,p46035,1.0088
lfill-gas,p48221,0.968
lfill-gas,p45043,0.9756
lfill-gas,p31047,0.9883
lfill-gas,p22109,0.9826
lfill-gas,p39079,1.0017
lfill-gas,p42023,1.062
lfill-gas,p47089,0.992
lfill-gas,p13109,0.977
lfill-gas,p47101,0.9915
lfill-gas,p55113,1.0597
lfill-gas,p48439,0.9693
lfill-gas,p18061,1.001
lfill-gas,p01065,0.9786
lfill-gas,p13073,0.986
lfill-gas,p55123,1.0382
lfill-gas,p16087,1.0217
lfill-gas,p12059,0.9691
lfill-gas,p06047,1.1712
lfill-gas,p35057,1.0087
lfill-gas,p29157,1.0527
lfill-gas,p37111,0.9902
lfill-gas,p12069,0.9701
lfill-gas,p20049,0.9876
lfill-gas,p17163,1.0772
lfill-gas,p13127,0.973
lfill-gas,p48239,0.9474
lfill-gas,p22011,0.9611
lfill-gas,p17171,1.0594
lfill-gas,p30017,0.9964
lfill-gas,p12057,0.97
lfill-gas,p06049,1.1367
lfill-gas,p46039,1.027
lfill-gas,p47053,1.0013
lfill-gas,p42017,1.1708
lfill-gas,p55109,1.0743
lfill-gas,p48437,0.9827
lfill-gas,p53039,1.0975
lfill-gas,p28097,0.9848
lfill-gas,p37009,0.9907
lfill-gas,p51193,1.0358
lfill-gas,p29171,1.0264
lfill-gas,p48415,0.9778
lfill-gas,p48243,0.9904
lfill-gas,p29111,1.0386
lfill-gas,p37105,0.992
lfill-gas,p22111,0.9782
lfill-gas,p31155,0.984
lfill-gas,p48353,0.9756
lfill-gas,p17023,1.0304
lfill-gas,p48213,0.9675
lfill-gas,p13133,0.9919
lfill-gas,p38061,1.012
lfill-gas,p51083,0.9963
lfill-gas,p48325,0.9634
lfill-gas,p20167,0.9864
lfill-gas,p26121,1.0211
lfill-gas,p26131,1.0573
lfill-gas,p13105,0.9901
lfill-gas,p48457,0.9515
lfill-gas,p48245,0.9476
lfill-gas,p27053,1.0777
lfill-gas,p36077,1.085
lfill-gas,p48359,0.9898
lfill-gas,p37089,0.9906
lfill-gas,p16073,1.0239
lfill-gas,p19025,1.0081
lfill-gas,p37113,0.992
lfill-gas,p39135,0.9953
lfill-gas,p17173,1.0502
lfill-gas,p38047,1.0175
lfill-gas,p20067,0.9858
lfill-gas,p31117,0.9909
lfill-gas,p47105,0.9918
lfill-gas,p47087,0.995
lfill-gas,p17159,1.0322
lfill-gas,p31023,0.9874
lfill-gas,p17187,1.0308
lfill-gas,p41053,1.1029
lfill-gas,p53031,1.1371
lfill-gas,p18063,1.0034
lfill-gas,p28019,0.9839
lfill-gas,p51049,1.0167
lfill-gas,p29197,1.0295
lfill-gas,p01067,0.9716
lfill-gas,p51061,1.0218
lfill-gas,p18053,1.0216
lfill-gas,p12071,0.971
lfill-gas,p13131,0.9616
lfill-gas,p22017,0.971
lfill-gas,p01055,0.9798
lfill-gas,p21001,0.9961
lfill-gas,p55111,1.0526
lfill-gas,p45059,0.9878
lfill-gas,p38079,1.0167
lfill-gas,p41067,1.101
lfill-gas,p05041,0.9825
lfill-gas,p48363,0.9697
lfill-gas,p46025,1.0172
lfill-gas,p06025,1.1075
lfill-gas,p35031,1.0152
lfill-gas,p27115,1.0651
lfill-gas,p26017,1.0438
lfill-gas,p31153,0.9805
lfill-gas,p35039,1.0053
lfill-gas,p21121,0.993
lfill-gas,p29097,1.0074
lfill-gas,p26129,1.0448
lfill-gas,p21199,0.995
lfill-gas,p12055,0.9705
lfill-gas,p20095,0.9815
lfill-gas,p37023,0.9895
lfill-gas,p39109,1.0058
lfill-gas,p28023,0.9726
lfill-gas,p31091,0.9913
lfill-gas,p13107,0.9802
lfill-gas,p20045,1.0302
lfill-gas,p13007,0.9666
lfill-gas,p39133,1.0274
lfill-gas,p48455,0.9517
lfill-gas,p18171,1.0472
lfill-gas,p06041,1.2591
lfill-gas,p54065,1.0305
lfill-gas,p29109,1.0091
lfill-gas,p39017,0.986
lfill-gas,p31139,0.9965
lfill-gas,p08033,1.0045
lfill-gas,p48215,0.9614
lfill-gas,p47061,0.9859
lfill-gas,p18177,1.0021
lfill-gas,p01017,0.9869
lfill-gas,p55125,1.0576
lfill-gas,p08015,0.9871
lfill-gas,p45005,0.9769
lfill-gas,p08039,0.9822
lfill-gas,p13005,0.9738
lfill-gas,p35037,0.996
lfill-gas,p56041,0.9932
lfill-gas,p55121,1.0505
lfill-gas,p26047,1.0527
lfill-gas,p56027,0.9899
lfill-gas,p38055,1.0169
lfill-gas,p48229,1.0002
lfill-gas,p13119,0.9918
lfill-gas,p29189,1.0783
lfill-gas,p06011,1.1874
lfill-gas,p27067,1.0516
lfill-gas,p51187,1.0246
lfill-gas,p21211,0.9993
lfill-gas,p22089,0.9886
lfill-gas,p31029,0.9882
lfill-gas,p29099,1.0743
lfill-gas,p13115,0.9894
lfill-gas,p21203,0.9941
lfill-gas,p22013,0.9707
lfill-gas,p22105,0.9814
lfill-gas,p39035,1.0407
lfill-gas,p08037,0.9872
lfill-gas,p41061,1.0486
lfill-gas,p46031,1.0116
lfill-gas,p28021,0.975
lfill-gas,p31031,0.996
lfill-gas,p20147,0.9878
lfill-gas,p17169,1.0451
lfill-gas,p20055,0.9858
lfill-gas,p17165,1.0292
lfill-gas,p12063,0.9652
lfill-gas,p21123,0.999
lfill-gas,p37109,0.99
lfill-gas,p06045,1.1962
lfill-gas,p29165,1.037
lfill-gas,p31147,1.0045
lfill-gas,p01061,0.9701
lfill-gas,p47059,0.9922
lfill-gas,p53033,1.1434
lfill-gas,p54059,1.0024
lfill-gas,p26023,1.0452
lfill-gas,p37091,1.0284
lfill-gas,p05135,1.0028
lfill-gas,p39121,1.0086
lfill-gas,p13001,0.9755
lfill-gas,p31143,0.9911
lfill-gas,p53035,1.1482
lfill-gas,p16081,0.9956
lfill-gas,p48235,0.9763
lfill-gas,p12067,0.9652
lfill-gas,p37019,0.9867
lfill-gas,p18057,1.0053
lfill-gas,p47093,0.992
lfill-gas,p55119,1.0575
lfill-gas,p18175,1.0017
lfill-gas,p19017,0.9849
lfill-gas,p12065,0.9608
lfill-gas,p29173,1.0501
lfill-gas,p31071,0.9911
lfill-gas,p13117,0.9968
lfill-gas,p48233,0.9839
lfill-gas,p48385,0.9673
lfill-gas,p06043,1.1682
lfill-gas,p31145,0.9872
lfill-gas,p08017,0.9862
lfill-gas,p20205,0.9956
lfill-gas,p16083,1.0227
lfill-gas,p01059,0.983
lfill-gas,p05045,0.9818
lfill-gas,p17167,1.0576
lfill-gas,p36083,1.1078
lfill-gas,p26025,1.0362
lfill-gas,p53023,1.0418
lfill-gas,p37003,0.99
lfill-gas,p20093,0.986
lfill-gas,p48443,0.977
lfill-gas,p30031,0.9915
lfill-gas,p46029,1.0235
lfill-gas,p12117,0.971
lfill-gas,p38101,1.0144
lfill-gas,p18031,1
lfill-gas,p28101,0.9744
lfill-gas,p35055,1.001
lfill-gas,p36115,1.0655
lfill-gas,p48445,0.9831
lfill-gas,p30019,1.0009
lfill-gas,p29007,1.0491
lfill-gas,p13075,0.967
lfill-gas,p51057,1.0367
lfill-gas,p38057,1.0168
lfill-gas,p47095,1.01
lfill-gas,p20057,0.9832
lfill-gas,p31079,0.9889
lfill-gas,p41063,1.0408
lfill-gas,p48231,0.9734
lfill-gas,p54041,1.0074
lfill-gas,p20059,1.0248
lfill-gas,p12115,0.97
lfill-gas,p39117,1.025
lfill-gas,p39119,1.009
lfill-gas,p45013,0.9726
lfill-gas,p16085,1.0218
lfill-gas,p56003,0.993
lfill-gas,p53017,1.0773
lfill-gas,p05043,0.981
lfill-gas,p27147,1.0538
lfill-gas,p26123,1.0198
lfill-gas,p29005,0.9994
lfill-gas,p41065,1.0996
lfill-gas,p31149,0.9955
lfill-gas,p29195,1.0321
lfill-gas,p48279,0.9869
lfill-gas,p48237,0.9704
lfill-gas,p12061,0.971
lfill-gas,p55115,1.0595
lfill-gas,p47091,0.9913
lfill-gas,p48331,0.9539
lfill-gas,p45065,0.9874
lfill-gas,p39125,1.0377
lfill-gas,p18059,1.0024
lfill-gas,p48449,0.9768
lfill-gas,p01057,0.9791
lfill-gas,p27055,1.0313
lfill-gas,p48441,0.9737
lfill-gas,p13123,0.9925
lfill-gas,p51059,1.0159
lfill-gas,p13033,0.9811
lfill-gas,p01037,0.982
lfill-gas,p48223,0.9745
lfill-gas,p17025,1.0423
lfill-gas,p21139,1.0107
lfill-gas,p22015,0.9717
lfill-gas,p13111,0.9923
lfill-gas,p26083,1.0572
lfill-gas,p48451,0.9741
lfill-gas,p05137,0.9926
lfill-gas,p54063,0.9882
lfill-gas,p53037,1.1115
lfill-gas,p28103,0.9799
lfill-gas,p13125,0.986
lfill-gas,p51081,1.0231
lfill-gas,p20051,0.9858
lfill-gas,p39005,1.0334
lfill-gas,p51079,1.0207
lfill-gas,p38059,1.0188
lfill-gas,p31027,0.9989
lfill-gas,p26127,1.0346
lfill-gas,p39113,0.9958
lfill-gas,p18173,1.013
lfill-gas,p47099,0.9848
lfill-gas,p39077,1.0411
lfill-gas,p46027,1.0025
lfill-gas,p19021,1.0077
lfill-gas,p27145,1.0599
lfill-gas,p05061,0.9818
lfill-gas,p16079,1.0319
lfill-gas,p26111,1.037
lfill-gas,p37107,1.0029
lfill-gas,p17027,1.0684
lfill-gas,p48281,0.9634
lfill-gas,p20127,0.9964
lfill-gas,p54061,1.0194
lfill-gas,p13121,0.9993
lfill-gas,p39115,1.0069
lfill-gas,p48447,0.9724
lfill-gas,p19015,1.0083
lfill-gas,p39123,1.0563
lfill-gas,p13113,0.9983
lfill-gas,p55117,1.0637
lfill-gas,p45015,0.9716
lfill-gas,p42021,1.0416
lfill-gas,p19019,0.9899
lfill-gas,p48227,0.9804
lfill-gas,p46033,0.9904
lfill-gas,p08035,0.9808
lfill-gas,p20207,1.0002
lfill-gas,p35035,1.0042
lfill-gas,p42019,1.0286
lfill-gas,p18055,1.0126
lfill-gas,p47057,0.9924
lfill-gas,p22107,0.975
lfill-gas,p27113,1.0379
lfill-gas,p21201,0.9893
lfill-gas,p21125,0.9938
lfill-gas,p38053,1.0087
lfill-gas,p51053,1.0235
lfill-gas,p20061,0.9988
lfill-gas,p20053,0.9857
lfill-gas,p26021,1.0983
lfill-gas,p36081,1.3103
lfill-gas,p41059,1.0607
lfill-gas,p20203,0.9869
lfill-gas,p01063,0.9786
lfill-gas,p53005,1.0751
lfill-gas,p51185,0.9952
lfill-gas,p48225,0.9539
lfill-gas,p28011,0.9843
lfill-gas,p39039,1.0421
lfill-gas,p47097,1.003
lfill-gas,p26027,1.0677
lfill-gas,p29009,1.0042
lfill-gas,p51191,0.9931
lfill-gas,p48413,0.9732
lfill-gas,p45011,0.9799
lfill-gas,p29155,1.01
lfill-gas,p20209,1.0393
lfill-gas,p51067,0.9827
lfill-gas,p35053,1.0095
lfill-gas,p29013,1.0261
lfill-gas,p51043,1.0245
lfill-gas,p12129,0.9608
lfill-gas,p01003,0.9683
lfill-gas,p26095,1.055
lfill-gas,p08047,0.981
lfill-gas,p21009,0.999
lfill-gas,p29001,1.0317
lfill-gas,p26135,1.047
lfill-gas,p20187,0.9865
lfill-gas,p51065,1.019
lfill-gas,p27109,1.0463
lfill-gas,p44009,1.1083
lfill-gas,p18069,1.0337
lfill-gas,p48333,0.9664
lfill-gas,p13147,0.9905
lfill-gas,p31133,0.9998
lfill-gas,p20073,0.9905
lfill-gas,p27143,1.0641
lfill-gas,p28137,0.9908
lfill-gas,p05051,0.9821
lfill-gas,p47113,0.9973
lfill-gas,p46047,0.99
lfill-gas,p48197,0.9729
lfill-gas,p28009,0.9919
lfill-gas,p55101,1.1145
lfill-gas,p48253,0.9743
lfill-gas,p30021,1.002
lfill-gas,p26007,1.0491
lfill-gas,p55131,1.0732
lfill-gas,p22115,0.9643
lfill-gas,p54071,1.0173
lfill-gas,p20031,1.0078
lfill-gas,p39149,1.0138
lfill-gas,p17197,1.1584
lfill-gas,p36073,1.0784
lfill-gas,p41045,1.0364
lfill-gas,p21129,0.9938
lfill-gas,p48195,0.9841
lfill-gas,p20125,0.9919
lfill-gas,p28107,0.9896
lfill-gas,p29017,1.0405
lfill-gas,p35061,1.01
lfill-gas,p21195,0.9991
lfill-gas,p17005,1.069
lfill-gas,p20097,0.982
lfill-gas,p48431,0.978
lfill-gas,p16065,0.9996
lfill-gas,p48467,0.9706
lfill-gas,p48369,0.9899
lfill-gas,p17035,1.0398
lfill-gas,p39101,1.0249
lfill-gas,p48411,0.9662
lfill-gas,p38065,1.0188
lfill-gas,p42015,1.0753
lfill-gas,p45067,0.9828
lfill-gas,p05037,0.9923
lfill-gas,p48199,0.9474
lfill-gas,p20197,1.0079
lfill-gas,p30037,0.9889
lfill-gas,p29151,1.0444
lfill-gas,p18179,1.0281
lfill-gas,p26119,1.0488
lfill-gas,p26009,1.0506
lfill-gas,p48251,0.9671
lfill-gas,p17153,1.023
lfill-gas,p17021,1.0566
lfill-gas,p39145,0.9983
lfill-gas,p27059,1.0729
lfill-gas,p26049,1.0534
lfill-gas,p55103,1.0418
lfill-gas,p47049,0.9936
lfill-gas,p53029,1.1431
lfill-gas,p16067,1.0089
lfill-gas,p13145,0.9875
lfill-gas,p41047,1.1014
lfill-gas,p19031,1.0209
lfill-gas,p08011,0.9871
lfill-gas,p28093,0.9917
lfill-gas,p39147,1.0413
lfill-gas,p48285,0.9487
lfill-gas,p28025,0.9835
lfill-gas,p13031,0.9771
lfill-gas,p20033,0.9806
lfill-gas,p31037,0.9883
lfill-gas,p38041,1.0117
lfill-gas,p37117,1.0161
lfill-gas,p31163,0.9927
lfill-gas,p18049,1.0637
lfill-gas,p06053,1.1803
lfill-gas,p51177,1.0235
lfill-gas,p48387,0.9779
lfill-gas,p37103,1.0035
lfill-gas,p13099,0.9677
lfill-gas,p12047,0.9669
lfill-gas,p48465,0.9722
lfill-gas,p22007,0.983
lfill-gas,p01075,0.98
lfill-gas,p21117,0.9823
lfill-gas,p27117,1.0226
lfill-gas,p22085,0.9646
lfill-gas,p53043,1.0402
lfill-gas,p35027,1.0062
lfill-gas,p13149,0.9929
lfill-gas,p17177,1.057
lfill-gas,p28091,0.9734
lfill-gas,p48191,0.9776
lfill-gas,p01049,0.9792
lfill-gas,p48429,0.9711
lfill-gas,p41043,1.1028
lfill-gas,p12043,0.971
lfill-gas,p36091,1.0747
lfill-gas,p20145,0.9841
lfill-gas,p19007,1.024
lfill-gas,p21011,0.9923
lfill-gas,p13035,0.9965
lfill-gas,p21237,0.9942
lfill-gas,p20029,0.9931
lfill-gas,p38067,1.0221
lfill-gas,p48361,0.9511
lfill-gas,p44007,1.0971
lfill-gas,p47047,0.9949
lfill-gas,p13151,0.9984
lfill-gas,p47117,0.988
lfill-gas,p54053,1.0073
lfill-gas,p56001,0.989
lfill-gas,p55099,1.058
lfill-gas,p20075,0.9868
lfill-gas,p26109,1.0581
lfill-gas,p13095,0.9694
lfill-gas,p26005,1.021
lfill-gas,p51590,0.991
lfill-gas,p06031,1.153
lfill-gas,p05141,0.9867
lfill-gas,p29093,1.0477
lfill-gas,p29201,1.0259
lfill-gas,p48257,0.9705
lfill-gas,p35025,0.9892
lfill-gas,p55133,1.089
lfill-gas,p13153,0.9833
lfill-gas,p06055,1.2103
lfill-gas,p18071,1.003
lfill-gas,p39081,1.0158
lfill-gas,p21115,0.9989
lfill-gas,p31167,0.9915
lfill-gas,p26117,1.0166
lfill-gas,p17007,1.1043
lfill-gas,p39153,1.0273
lfill-gas,p48323,0.9672
lfill-gas,p20195,0.9868
lfill-gas,p37087,0.9915
lfill-gas,p30039,1.0062
lfill-gas,p27151,1.0411
lfill-gas,p53045,1.1403
lfill-gas,p51041,1.025
lfill-gas,p48469,0.9504
lfill-gas,p48255,0.9559
lfill-gas,p27049,1.0675
lfill-gas,p42029,1.1375
lfill-gas,p47081,0.9959
lfill-gas,p38039,1.0203
lfill-gas,p27125,1.0377
lfill-gas,p08029,0.996
lfill-gas,p12045,0.9648
lfill-gas,p47115,0.9835
lfill-gas,p37027,0.99
lfill-gas,p27069,1.0298
lfill-gas,p13097,0.9983
lfill-gas,p18167,1.022
lfill-gas,p42001,1.0518
lfill-gas,p27133,1.018
lfill-gas,p12077,0.9621
lfill-gas,p31165,0.9897
lfill-gas,p31093,0.9937
lfill-gas,p45061,0.9833
lfill-gas,p56029,0.9934
lfill-gas,p01035,0.9729
lfill-gas,p22021,0.9743
lfill-gas,p28143,0.9897
lfill-gas,p46019,0.9931
lfill-gas,p01077,0.9823
lfill-gas,p31045,0.9907
lfill-gas,p16063,1.0158
lfill-gas,p51175,1.0286
lfill-gas,p26137,1.05
lfill-gas,p39151,1.0208
lfill-gas,p47065,0.9876
lfill-gas,p18015,1.0406
lfill-gas,p05035,0.9953
lfill-gas,p39099,1.0238
lfill-gas,p35043,1.009
lfill-gas,p29159,1.0285
lfill-gas,p37013,1.0181
lfill-gas,p05127,0.9852
lfill-gas,p48193,0.9654
lfill-gas,p26035,1.035
lfill-gas,p31017,0.9964
lfill-gas,p30015,0.9838
lfill-gas,p19033,1.0081
lfill-gas,p21223,0.9987
lfill-gas,p45023,0.9887
lfill-gas,p17151,1.0168
lfill-gas,p56025,0.9907
lfill-gas,p37095,1.0274
lfill-gas,p29179,1.0402
lfill-gas,p46049,1.0117
lfill-gas,p18033,1.0453
lfill-gas,p26069,1.0479
lfill-gas,p29199,1.0323
lfill-gas,p36117,1.0585
lfill-gas,p01071,0.9761
lfill-gas,p54043,1.0075
lfill-gas,p47085,0.9976
lfill-gas,p36089,1.0537
lfill-gas,p28105,0.9837
lfill-gas,p39139,1.0312
lfill-gas,p17157,1.0663
lfill-gas,p48283,0.9633
lfill-gas,p21119,0.9969
lfill-gas,p12051,0.971
lfill-gas,p26013,1.057
lfill-gas,p27149,1.037
lfill-gas,p20069,0.9847
lfill-gas,p16071,0.9975
lfill-gas,p22091,0.9795
lfill-gas,p20131,1.0091
lfill-gas,p38045,1.0193
lfill-gas,p38063,1.0206
lfill-gas,p48207,0.9736
lfill-gas,p05049,1.0048
lfill-gas,p27111,1.0415
lfill-gas,p51063,0.9839
lfill-gas,p28013,0.9882
lfill-gas,p41051,1.1004
lfill-gas,p39015,0.9893
lfill-gas,p13009,0.9885
lfill-gas,p39105,1.0059
lfill-gas,p22113,0.9705
lfill-gas,p08019,0.9813
lfill-gas,p20039,0.9873
lfill-gas,p48247,0.964
lfill-gas,p06051,1.1606
lfill-gas,p31021,0.9868
lfill-gas,p31061,0.9883
lfill-gas,p45003,0.9825
lfill-gas,p35041,0.9938
lfill-gas,p12091,0.9704
lfill-gas,p53041,1.1195
lfill-gas,p48435,0.9718
lfill-gas,p05065,0.9975
lfill-gas,p39041,1.018
lfill-gas,p31073,0.988
lfill-gas,p13139,0.9947
lfill-gas,p19027,1.0023
lfill-gas,p18051,1.0199
lfill-gas,p39075,1.0167
lfill-gas,p48327,0.9696
lfill-gas,p18013,1.0041
lfill-gas,p51047,1.0229
lfill-gas,p21005,0.9968
lfill-gas,p05039,0.9806
lfill-gas,p21227,0.9995
lfill-gas,p19011,0.9944
lfill-gas,p12053,0.97
lfill-gas,p26071,1.0579
lfill-gas,p51181,1.0325
lfill-gas,p48381,0.9838
lfill-gas,p13135,0.9983
lfill-gas,p08043,0.9851
lfill-gas,p26015,1.0161
lfill-gas,p46041,1.0072
lfill-gas,p39107,1.0199
lfill-gas,p35029,1.0181
lfill-gas,p01069,0.9679
lfill-gas,p30035,1.0037
lfill-gas,p42025,1.0959
lfill-gas,p21003,0.999
lfill-gas,p21127,1.0021
lfill-gas,p29003,1.0227
lfill-gas,p46023,1.0031
lfill-gas,p28157,0.9765
lfill-gas,p45019,0.9706
lfill-gas,p12073,0.9601
lfill-gas,p20043,1.0246
lfill-gas,p48211,0.9787
lfill-gas,p20199,0.987
lfill-gas,p01053,0.9714
lfill-gas,p39137,1.0364
lfill-gas,p05139,0.978
lfill-gas,p18065,1.0061
lfill-gas,p54067,1.0031
lfill-gas,p31137,0.988
lfill-gas,p48459,0.9738
lfill-gas,p41069,1.0815
lfill-gas,p55107,1.0603
lfill-gas,p26031,1.0534
lfill-gas,p55127,1.1051
lfill-gas,p08013,0.9819
lfill-gas,p17001,1.0442
lfill-gas,p20041,0.9937
lfill-gas,p13137,0.9933
lfill-gas,p47107,0.9906
lfill-gas,p48209,0.9577
lfill-gas,p31157,0.9891
lfill-gas,p22009,0.9727
lfill-gas,p51730,1.027
lfill-gas,p29153,1.0087
lfill-gas,p18017,1.0451
lfill-gas,p13077,0.9963
lfill-gas,p05131,0.9861
lfill-gas,p17031,1.1879
lfill-gas,p22101,0.9789
lfill-gas,p21205,0.9958
lfill-gas,p35059,0.9918
lfill-gas,p51195,0.9949
lfill-gas,p31095,0.9973
lfill-gas,p42027,1.0614
lfill-gas,p12049,0.97
lfill-gas,p46007,0.9949
lfill-gas,p20071,0.987
lfill-gas,p31161,0.9926
lfill-gas,p19029,0.996
lfill-gas,p26097,1.0544
lfill-gas,p36075,1.05
lfill-gas,p41071,1.1018
lfill-gas,p13101,0.9675
lfill-gas,p21007,1.0172
lfill-gas,p39143,1.0496
lfill-gas,p48277,0.9761
lfill-gas,p30027,0.9867
lfill-gas,p38043,1.0184
lfill-gas,p48433,0.9756
lfill-gas,p13071,0.9658
lfill-gas,p17199,1.0316
lfill-gas,p46021,1.0147
lfill-gas,p22019,0.9585
lfill-gas,p45033,0.987
lfill-gas,p20151,0.9822
lfill-gas,p56005,0.9915
lfill-gas,p47111,0.9982
lfill-gas,p18041,0.998
lfill-gas,p31019,0.988
lfill-gas,p28131,0.9638
lfill-gas,p26033,1.0556
lfill-gas,p48201,0.9404
lfill-gas,p20091,1.0377
lfill-gas,p20035,0.9825
lfill-gas,p17033,1.0269
lfill-gas,p31135,0.9888
lfill-gas,p05129,0.9928
lfill-gas,p27065,1.0674
lfill-gas,p47083,0.999
lfill-gas,p54037,1.0262
lfill-gas,p48463,0.9664
lfill-gas,p54069,1.013
lfill-gas,p46045,1.0138
lfill-gas,p13143,0.9934
lfill-gas,p39103,1.0313
lfill-gas,p19009,0.9969
lfill-gas,p45001,0.9883
lfill-gas,p01073,0.9793
lfill-gas,p51045,0.9835
lfill-gas,p06039,1.1666
lfill-gas,p05059,0.9813
lfill-gas,p01051,0.9811
lfill-gas,p26011,1.0456
lfill-gas,p17175,1.0403
lfill-gas,p08045,0.9937
lfill-gas,p39141,1.001
lfill-gas,p13103,0.9752
lfill-gas,p18169,1.037
lfill-gas,p51077,0.9909
lfill-gas,p29095,1.0386
lfill-gas,p31035,0.9887
lfill-gas,p55105,1.0806
lfill-gas,p21197,0.993
lfill-gas,p37025,0.99
lfill-gas,p47109,0.9921
lfill-gas,p06013,1.2305
lfill-gas,p31159,0.9883
lfill-gas,p46043,1.0047
lfill-gas,p54055,0.9947
lfill-gas,p48461,0.982
lfill-gas,p27051,1.0363
lfill-gas,p37015,1.022
lfill-gas,p45041,0.982
lfill-gas,p47063,0.992
lfill-gas,p47051,0.9794
lfill-gas,p48205,0.99
lfill-gas,p21141,1.0001
lfill-gas,p16069,1.0388
lfill-gas,p51179,1.0207
lfill-gas,p35028,1.008
lfill-gas,p51085,1.026
lfill-gas,p45021,0.9898
lfill-gas,p48203,0.9694
lfill-gas,p20037,1.0081
lfill-gas,p55129,1.0627
lfill-gas,p17155,1.064
lfill-gas,p12075,0.9687
lfill-gas,p53001,1.0471
lfill-gas,p26089,1.0527
lfill-gas,p18067,1.0234
lfill-gas,p08031,0.98
lfill-gas,p13141,0.9889
lfill-gas,p48367,0.969
lfill-gas,p06001,1.2373
lfill-gas,p41049,1.0751
lfill-gas,p37115,0.992
lfill-gas,p29015,1.0259
lfill-gas,p48249,0.9604
lfill-gas,p28095,0.9836
lfill-gas,p26133,1.0336
lfill-gas,p17003,1.0246
lfill-gas,p29187,1.0588
lfill-gas,p29103,1.0337
lfill-gas,p30071,0.992
lfill-gas,p13189,0.9866
lfill-gas,p09170,1.1455
lfill-gas,p19157,1.0054
lfill-gas,p40097,0.9889
lfill-gas,p18147,1.0087
lfill-gas,p36121,1.0803
lfill-gas,p37155,0.9885
lfill-gas,p17059,1.0265
lfill-gas,p29059,1.0212
lfill-gas,p27033,1.0325
lfill-gas,p17109,1.0381
lfill-gas,p49021,1.0703
lfill-gas,p13043,0.9783
lfill-gas,p26105,1.0442
lfill-gas,p36107,1.0749
lfill-gas,p48097,0.972
lfill-gas,p46097,1.0129
lfill-gas,p34041,1.1773
lfill-gas,p24039,1.0688
lfill-gas,p42079,1.0592
lfill-gas,p40055,0.9714
lfill-gas,p18105,1.007
lfill-gas,p19093,0.9986
lfill-gas,p05079,0.9811
lfill-gas,p29225,1.0178
lfill-gas,p05085,0.981
lfill-gas,p20107,1.0231
lfill-gas,p13237,0.9922
lfill-gas,p06081,1.2601
lfill-gas,p37195,1.0033
lfill-gas,p37005,0.99
lfill-gas,p13239,0.9748
lfill-gas,p06111,1.1509
lfill-gas,p30057,0.9996
lfill-gas,p45037,0.9852
lfill-gas,p37049,1.0056
lfill-gas,p32510,1.1685
lfill-gas,p51740,1.046
lfill-gas,p40057,0.973
lfill-gas,p51007,1.019
lfill-gas,p27087,1.0408
lfill-gas,p05105,0.982
lfill-gas,p48299,0.9639
lfill-gas,p36021,1.1306
lfill-gas,p21153,0.9966
lfill-gas,p48095,0.9715
lfill-gas,p47171,0.992
lfill-gas,p42099,1.078
lfill-gas,p09180,1.118
lfill-gas,p48047,0.9626
lfill-gas,p40129,0.9744
lfill-gas,p21049,0.9924
lfill-gas,p19073,1.0063
lfill-gas,p51143,0.989
lfill-gas,p19121,1.0098
lfill-gas,p26165,1.0425
lfill-gas,p16015,1.0134
lfill-gas,p55051,1.0579
lfill-gas,p36045,1.0672
lfill-gas,p47169,0.998
lfill-gas,p13313,0.9891
lfill-gas,p13281,0.9925
lfill-gas,p27095,1.0671
lfill-gas,p09190,1.1978
lfill-gas,p21047,1.0012
lfill-gas,p20119,0.983
lfill-gas,p49019,1.0017
